id,country,vendor_inco_term,shipment_mode,scheduled_delivery_date,delivered_to_client_date,vendor,line_item_quantity,line_item_value,weight_kgs,freight_cost_usd,line_item_insurance_usd
1279,Zimbabwe,CIP,Air,07-Nov-06,07-Nov-06,INTERNATIONAL HEALTHCARE DISTRIBUTORS,260,11096.8,135,,
1281,Nigeria,EXW,Air,07-Dec-06,07-Dec-06,Aurobindo Pharma Limited,894,2994.9,479,4861.14,
1282,Vietnam,EXW,Air,14-Mar-07,14-Mar-07,CIPLA LIMITED,25100,276100,2575,18772.94,
1283,Vietnam,EXW,Air,14-Mar-07,14-Mar-07,STRIDES ARCOLAB LIMITED,95500,144205,9170,42453.21,
1285,Guyana,EXW,Air,29-Dec-06,29-Dec-06,"Trinity Biotech, Plc",900,36000,316,4989.87,
1295,Mozambique,CIP,Air,15-Feb-07,15-Feb-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),80,3288,25,,
1298,Vietnam,EXW,Air,12-May-07,12-May-07,CIPLA LIMITED,70000,525000,6813,31858.09,
1299,Rwanda,EXW,Air,27-Feb-07,27-Feb-07,CIPLA LIMITED,71577,1087970.4,,,
1300,Rwanda,EXW,Air,27-Feb-07,27-Feb-07,CIPLA LIMITED,5605,202340.5,,,
1303,Ethiopia,FCA,Air,28-Dec-06,28-Dec-06,Abbott GmbH & Co. KG,200,16000,,,
1306,Vietnam,EXW,Air,24-Aug-07,24-Aug-07,CIPLA LIMITED,25000,187500,2348,21439.59,300
1307,Nigeria,EXW,Air,15-Mar-07,30-Mar-07,BIO-RAD LABORATORIES (FRANCE),375,28500,402,4445.75,
1309,Ethiopia,EXW,Air,15-Jan-07,15-Jan-07,Abbott GmbH & Co. KG,4650,372000,1707,24859.45,
1337,CÙte d'Ivoire,CIP,Air,23-Oct-07,23-Oct-07,BRISTOL-MYERS SQUIBB,1577,14981.5,306,,23.97
1347,Nigeria,EXW,Air,07-Sep-07,07-Sep-07,Abbott GmbH & Co. KG,3500,280000,1194,5858.57,448
1350,CÙte d'Ivoire,CIP,Air,02-Oct-07,02-Oct-07,BRISTOL-MYERS SQUIBB,4270,40565,,,64.9
1356,Vietnam,EXW,Air,02-Oct-07,02-Oct-07,Aurobindo Pharma Limited,1000,1920,960,13762.41,3.07
1357,Vietnam,EXW,Air,02-Oct-07,02-Oct-07,Aurobindo Pharma Limited,1000,2100,,,3.36
1358,Vietnam,EXW,Air,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,1000,2100,,,3.36
1359,Vietnam,EXW,Air,15-Oct-07,15-Oct-07,Aurobindo Pharma Limited,3000,40500,332,4454.62,64.8
1360,Vietnam,EXW,Air,23-Nov-07,23-Nov-07,Aurobindo Pharma Limited,22500,277425,1955,16095.39,443.88
1361,Vietnam,FCA,Air,27-Aug-07,27-Aug-07,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),500,41095,117,1767.38,65.75
1383,Tanzania,EXW,Air,19-Sep-07,19-Sep-07,"Standard Diagnostics, Inc.",10000,200000,3336,25165.3,320
1502,Rwanda,EXW,Air,28-Jan-08,28-Jan-08,ASPEN PHARMACARE,1609,27353,157,7922.24,43.76
1512,South Africa,DDP,N/A,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",30,1447.8,,,2.32
1513,South Africa,DDP,N/A,29-Jan-08,29-Jan-08,"JSI R&T INSTITUTE, INC.",100,2850,,,4.56
1519,Vietnam,FCA,Air,28-Mar-08,28-Mar-08,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),100,18333,337,2535.4,29.33
1527,Nigeria,EXW,Air,21-Jan-08,21-Jan-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",10000,270000,3336,28002.75,432
1529,Rwanda,CIP,Air,28-Jan-08,28-Jan-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),1099,30222.5,113,1511.25,48.36
1530,Vietnam,EXW,Air,01-Feb-08,01-Feb-08,Aurobindo Pharma Limited,1200,2100,125,2429.85,3.36
1531,Kazakhstan,DDP,Air,27-Dec-07,27-Dec-07,Orasure Technologies Inc.,50,17500,,,28
1549,Nigeria,EXW,Air,05-Feb-08,05-Feb-08,"Orgenics, Ltd",650,51993.5,148,2577.27,83.19
1587,South Africa,DDP,N/A,21-Jan-08,04-Jan-08,"JSI R&T INSTITUTE, INC.",100,573,,,0.92
1593,Botswana,EXW,Air,03-Jul-08,03-Jul-08,"Trinity Biotech, Plc",450,14400,154,2496.62,23.04
1594,Nigeria,EXW,Air,19-Sep-08,16-Jul-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",10270,277290,2907,18864.37,443.66
1618,Mozambique,EXW,Air,27-Mar-08,27-Mar-08,"Trinity Biotech, Plc",9000,288000,9000,55746.59,460.8
1628,Zambia,EXW,Air,14-May-08,14-May-08,"Trinity Biotech, Plc",6040,193280,2052,24689,309.25
1634,Zambia,EXW,Air,06-Jun-08,30-May-08,"Orgenics, Ltd",4300,43,284,,0.07
1637,CÙte d'Ivoire,EXW,Air,04-Mar-09,04-Mar-09,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",289,7803,79,1104.69,15.29
1638,Mozambique,EXW,Air,09-Jul-08,04-Jul-08,"Orgenics, Ltd",3000,215970,682,5298.9,345.55
1643,CÙte d'Ivoire,EXW,Air,08-Apr-08,04-Apr-08,"Orgenics, Ltd",70,0.7,,,0
1644,CÙte d'Ivoire,EXW,Air,22-Jul-08,22-Jul-08,"Orgenics, Ltd",1116,78120,255,5175.72,124.99
1645,CÙte d'Ivoire,EXW,Air,19-Dec-08,19-Dec-08,"Orgenics, Ltd",1116,78120,256,7118.12,153.12
1646,Guyana,EXW,Air,06-May-08,06-May-08,"Trinity Biotech, Plc",832,26624,832,3740.04,42.6
1647,Guyana,EXW,Air,28-Jul-08,28-Jul-08,"Orgenics, Ltd",213,15333.87,49,959.46,24.53
1648,Botswana,EXW,Air,11-Apr-08,11-Apr-08,Orasure Technologies Inc.,10,3500,39,604,5.6
1660,Zimbabwe,EXW,Air,17-Nov-08,21-Oct-08,"Orgenics, Ltd",1634,16.34,,,0.03
1673,South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,400,15760,,,25.22
1674,South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,6,47.28,,,0.08
1675,South Africa,DDP,Truck,24-Apr-08,24-Apr-08,S. BUYS WHOLESALER,500,10925,,,17.48
1691,Vietnam,EXW,Air,07-Jul-08,20-Jun-08,Aurobindo Pharma Limited,10080,29232,507,4159.45,46.77
1693,Vietnam,EXW,Air,01-Jun-08,01-Jun-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),6720,77145.6,522,3796.05,123.43
1719,CÙte d'Ivoire,EXW,Air,09-May-08,09-May-08,"Orgenics, Ltd",250,2.5,17,,0
1722,South Africa,DDP,N/A,25-Apr-08,07-Apr-08,S. BUYS WHOLESALER,300,4614,,,7.38
1723,South Africa,DDP,N/A,25-Apr-08,25-Apr-08,S. BUYS WHOLESALER,300,4155,,,6.65
1724,South Africa,DDP,N/A,25-Apr-08,07-Apr-08,S. BUYS WHOLESALER,100,1849,,,2.96
1730,Nigeria,EXW,Air,28-May-08,28-May-08,"Orgenics, Ltd",1130,11.3,,,0.02
1797,Vietnam,CIP,Air,03-Oct-08,03-Oct-08,BRISTOL-MYERS SQUIBB,400,2800,81,3013.09,4.48
1798,Vietnam,EXW,Air,19-Aug-08,19-Aug-08,STRIDES ARCOLAB LIMITED,10780,15631,502,7575.6,25.01
1801,South Africa,DDP,Truck,20-Aug-08,08-May-08,S. BUYS WHOLESALER,670,24783.3,,,39.65
1802,South Africa,DDP,Truck,20-Aug-08,21-May-08,S. BUYS WHOLESALER,2000,11060,,,17.7
1803,South Africa,DDP,Truck,20-Aug-08,14-May-08,S. BUYS WHOLESALER,1000,16630,,,26.61
1804,South Africa,DDP,Truck,20-Aug-08,08-May-08,S. BUYS WHOLESALER,30,435.9,,,0.7
1820,Haiti,EXW,Air,27-Oct-08,27-Oct-08,"Orgenics, Ltd",1123,78610,257,2851.72,154.08
1861,Rwanda,EXW,Air,16-Aug-08,16-Aug-08,"Trinity Biotech, Plc",340,47260,234,5446.06,75.62
1888,Rwanda,CIP,Air,23-Jul-08,22-Jul-08,Aurobindo Pharma Limited,47879,569281.31,5311,30408.04,910.85
1889,Rwanda,CIP,Air,23-Jul-08,23-Jul-08,Aurobindo Pharma Limited,61021,725539.69,6768,38120.96,1160.86
1905,Vietnam,EXW,Air,19-Sep-08,19-Sep-08,Aurobindo Pharma Limited,4300,37023,,,59.24
1919,Vietnam,EXW,Air,03-Oct-08,03-Oct-08,Aurobindo Pharma Limited,18030,26143.5,1114,5822.44,41.83
1926,South Africa,DDP,Truck,10-Jul-08,14-Jul-08,S. BUYS WHOLESALER,50,663.5,,,1.06
1927,South Africa,DDP,Truck,10-Jul-08,08-Jul-08,S. BUYS WHOLESALER,250,715,,,1.14
1928,South Africa,DDP,Truck,10-Jul-08,08-Jul-08,S. BUYS WHOLESALER,60,1096.2,,,1.75
1929,South Africa,DDP,Truck,10-Jul-08,08-Jul-08,S. BUYS WHOLESALER,12,150.48,,,0.24
1939,Zambia,EXW,Air,22-Sep-08,22-Sep-08,"Orgenics, Ltd",3000,30,889,7303.52,0.05
1940,Guyana,EXW,Air,29-Oct-08,29-Oct-08,"Orgenics, Ltd",213,15333.87,49,1047.39,30.05
1941,Nigeria,EXW,Air,15-Oct-08,15-Oct-08,"Orgenics, Ltd",6502,65.02,1927,24870.05,0.1
1942,Nigeria,EXW,Air,12-Sep-08,12-Sep-08,"Orgenics, Ltd",6875,549931.25,1566,19992.75,879.89
1954,Vietnam,FCA,Air,02-Dec-08,02-Dec-08,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),434,35674.8,113,2709.98,69.92
1955,Vietnam,EXW,Air,24-Nov-08,24-Nov-08,Aurobindo Pharma Limited,1100,12540,159,2568.6,24.58
1956,Vietnam,EXW,Air,25-Nov-08,25-Nov-08,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),8400,85596,613,3247.73,167.77
1957,Vietnam,EXW,Air,03-Dec-08,03-Dec-08,CIPLA LIMITED,3648,26448,323,2335.19,51.84
1971,Guyana,EXW,Air,15-Dec-08,15-Dec-08,ZEPHYR BIOMEDICALS,108,4050,34,648.27,7.94
1972,Ethiopia,EXW,Air,03-Nov-08,13-Oct-08,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",5958,160866,2147,11066.17,257.39
